,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2
57,1595155418-69,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Udinese
              
                Juventus",https://www.betano.pt/odds/udinese-juventus/5976754/,Série A,"Quinta-feira, 23 Julho 2020 18:30",Udinese,Juventus,4.8,3.85,1.63,1.65,1.91,Mais de2.5,1.19,3.45,Mais de1.5,2.56,1.35,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),2.13,1.19,1.14,1X,12,2X
58,1595155230-37,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Bayern Munique
              
                Chelsea
                        
            Primeira mão: 3-0",https://www.betano.pt/odds/bayern-munique-chelsea/5916353/,Liga dos Campeões - Jogos,"Sábado, 8 Agosto 2020 20:00",Bayern Munique,Chelsea,1.55,4.25,5.1,-,34.0,Bayern Munique,,,,,,,-,6.95,Total de Golos Mais/Menos (alternativas),1.45,2.65,6.95,Bayern Munique,Chelsea,Sem Golos
59,1595155313-51,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Sporting CP
              
                Vitória Setúbal",https://www.betano.pt/odds/sporting-cp-vitoria-setubal/5968137/,Primeira Liga,"Terça-feira, 21 Julho 2020 19:00",Sporting CP,Vitória Setúbal,1.42,4.25,7.0,1.87,1.67,Mais de2.5,1.26,2.96,Mais de1.5,3.15,1.23,Mais de3.5,2.05,1.55,Ambas Equipas Marcam (Sim/Não),1.06,1.16,2.63,1X,12,2X
60,1595155459-77,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Atalanta
              
                Bolonha",https://www.betano.pt/odds/atalanta-bolonha/5976741/,Série A,"Terça-feira, 21 Julho 2020 18:30",Atalanta,Bolonha,1.27,5.85,8.0,1.72,1.83,Mais de3.5,1.05,5.65,Mais de1.5,1.27,2.94,Mais de2.5,1.53,2.1,Ambas Equipas Marcam (Sim/Não),1.04,1.08,3.4,1X,12,2X
61,1595155045-5,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Birmingham
              
                Derby County",https://www.betano.pt/odds/birmingham-derby-county/5771397/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Birmingham,Derby County,2.8,3.2,2.45,1.75,1.72,Mais de2.5,1.23,2.94,Mais de1.5,2.84,1.25,Mais de3.5,1.57,1.95,Ambas Equipas Marcam (Sim/Não),1.47,1.26,1.38,1X,12,2X
62,1595155117-18,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"St Mirren
              
                Livingston FC",https://www.betano.pt/odds/st-mirren-livingston-fc/5906397/,Premiership,"Sábado, 1 Agosto 2020 15:00",St Mirren,Livingston FC,2.58,3.2,2.64,1.95,1.57,Mais de2.5,1.3,2.63,Mais de1.5,3.4,1.17,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.42,1.26,1.45,1X,12,2X
63,1595155510-86,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Manchester United
              
                West Ham",https://www.betano.pt/odds/manchester-united-west-ham/5882505/,Premier League,"Quarta-feira, 22 Julho 2020 18:00",Manchester United,West Ham,1.26,5.7,9.0,2.02,1.57,Mais de3.5,1.1,4.6,Mais de1.5,1.4,2.4,Mais de2.5,1.75,1.8,Ambas Equipas Marcam (Sim/Não),1.03,1.12,3.5,1X,12,2X
64,1595155127-20,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Dundee United
              
                FC St Johnstone",https://www.betano.pt/odds/dundee-united-fc-st-johnstone/5906395/,Premiership,"Sábado, 1 Agosto 2020 15:00",Dundee United,FC St Johnstone,2.74,3.05,2.6,2.00,1.55,Mais de2.5,1.32,2.56,Mais de1.5,3.4,1.17,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.44,1.28,1.4,1X,12,2X
65,1595155428-71,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Torino
              
                Hellas Verona",https://www.betano.pt/odds/torino-hellas-verona/5976751/,Série A,"Quarta-feira, 22 Julho 2020 20:45",Torino,Hellas Verona,2.3,3.3,2.92,1.80,1.75,Mais de2.5,1.25,3.05,Mais de1.5,2.94,1.27,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.36,1.25,1.55,1X,12,2X
66,1595155091-14,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Derby County
              
                Leeds United",https://www.betano.pt/odds/derby-county-leeds-united/5735084/,Championship,"Domingo, 19 Julho 2020 14:00",Derby County,Leeds United,2.98,3.35,2.25,1.65,1.85,Mais de2.5,1.19,3.2,Mais de1.5,2.58,1.31,Mais de3.5,1.50,2.05,Ambas Equipas Marcam (Sim/Não),1.57,1.24,1.35,1X,12,2X
67,1595155029-2,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Brentford FC
              
                Barnsley FC",https://www.betano.pt/odds/brentford-fc-barnsley-fc/5771405/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Brentford FC,Barnsley FC,1.31,4.9,9.0,1.53,2.02,Mais de2.5,1.14,3.65,Mais de1.5,2.3,1.4,Mais de3.5,1.80,1.67,Ambas Equipas Marcam (Sim/Não),1.03,1.14,3.15,1X,12,2X
68,1595155402-67,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Chicago Fire
              
                San Jose Earthquakes",https://www.betano.pt/odds/chicago-fire-san-jose-earthquakes/5986922/,MLS,"Segunda-feira, 20 Julho 2020 01:00",Chicago Fire,San Jose Earthquakes,2.45,3.5,2.6,1.50,2.02,Mais de2.5,1.14,3.55,Mais de1.5,2.25,1.4,Mais de3.5,1.42,2.19,Ambas Equipas Marcam (Sim/Não),1.44,1.22,1.5,1X,12,2X
69,1595155527-89,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Wolverhampton
              
                Crystal Palace FC",https://www.betano.pt/odds/wolverhampton-crystal-palace-fc/5793738/,Premier League,"Segunda-feira, 20 Julho 2020 20:15",Wolverhampton,Crystal Palace FC,1.5,3.85,6.7,2.12,1.53,Mais de2.5,1.35,2.56,Mais de1.5,3.75,1.16,Mais de3.5,2.25,1.45,Ambas Equipas Marcam (Sim/Não),1.07,1.19,2.45,1X,12,2X
70,1595155454-76,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Sassuolo
              
                AC Milão",https://www.betano.pt/odds/sassuolo-ac-milao/5976742/,Série A,"Terça-feira, 21 Julho 2020 20:45",Sassuolo,AC Milão,3.15,3.8,2.0,1.95,1.61,Mais de3.5,1.1,4.55,Mais de1.5,1.38,2.45,Mais de2.5,1.35,2.56,Ambas Equipas Marcam (Sim/Não),1.72,1.2,1.3,1X,12,2X
71,1595155178-28,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Wolverhampton
              
                Olympiacos
                        
            Primeira mão: 1-1",https://www.betano.pt/odds/wolverhampton-olympiacos/5915663/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 20:00",Wolverhampton,Olympiacos,1.88,3.25,4.15,1.32,2.76,Wolverhampton,,,,,,,1.04,5.9,Total de Golos Mais/Menos (alternativas),1.63,2.64,5.9,Wolverhampton,Olympiacos,Sem Golos
72,1595155469-79,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AS Roma
              
                Inter de Milão",https://www.betano.pt/odds/as-roma-inter-de-milao/5949624/,Série A,"Domingo, 19 Julho 2020 20:45",AS Roma,Inter de Milão,3.05,3.5,2.15,2.10,1.53,Mais de3.5,1.12,4.2,Mais de1.5,1.45,2.25,Mais de2.5,1.38,2.45,Ambas Equipas Marcam (Sim/Não),1.63,1.23,1.33,1X,12,2X
73,1595155542-92,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Tottenham
              
                Leicester
                SO",https://www.betano.pt/odds/tottenham-leicester/5793730/,Premier League,"Domingo, 19 Julho 2020 16:00",Tottenham,Leicester,2.46,3.53,3.2,1.95,1.7,Mais de2.5,1.28,2.86,Mais de1.5,3.2,1.22,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),1.35,1.27,1.53,1X,12,2X
74,1595155532-90,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Sheffield United
              
                Everton",https://www.betano.pt/odds/sheffield-united-everton/5793725/,Premier League,"Segunda-feira, 20 Julho 2020 18:00",Sheffield United,Everton,2.1,3.2,3.45,2.10,1.53,Mais de2.5,1.35,2.58,Mais de1.5,3.7,1.16,Mais de3.5,1.85,1.7,Ambas Equipas Marcam (Sim/Não),1.27,1.27,1.65,1X,12,2X
75,1595155235-38,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Barcelona
              
                Nápoles
                        
            Primeira mão: 1-1",https://www.betano.pt/odds/barcelona-napoles/5916308/,Liga dos Campeões - Jogos,"Sábado, 8 Agosto 2020 20:00",Barcelona,Nápoles,1.6,3.75,5.35,1.28,2.94,Barcelona,,,,,,,1.02,6.75,Total de Golos Mais/Menos (alternativas),1.47,2.8,6.75,Barcelona,Nápoles,Sem Golos
76,1595155076-11,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Nottingham Forest
              
                Stoke City",https://www.betano.pt/odds/nottingham-forest-stoke-city/5771387/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Nottingham Forest,Stoke City,2.11,3.25,3.35,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.1,1.21,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.27,1.25,1.65,1X,12,2X
77,1595155040-4,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Sheffield Wednesday
              
                Middlesbrough",https://www.betano.pt/odds/sheffield-wednesday-middlesbrough/5771400/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Sheffield Wednesday,Middlesbrough,2.15,3.1,3.4,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.05,1.22,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.27,1.27,1.63,1X,12,2X
78,1595155286-47,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Atlético de Madrid
              
                Real Sociedad",https://www.betano.pt/odds/atletico-de-madrid-real-sociedad/5979280/,LaLiga,"Domingo, 19 Julho 2020 20:00",Atlético de Madrid,Real Sociedad,2.17,2.72,4.6,2.37,1.45,Mais de2.5,1.42,2.35,Mais de1.5,4.05,1.13,Mais de3.5,1.91,1.65,Ambas Equipas Marcam (Sim/Não),1.18,1.38,1.65,1X,12,2X
79,1595155329-54,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Paços Ferreira
              
                Portimonense",https://www.betano.pt/odds/pacos-ferreira-portimonense/5968134/,Primeira Liga,"Segunda-feira, 20 Julho 2020 17:00",Paços Ferreira,Portimonense,3.05,3.05,2.35,1.78,1.75,Mais de2.5,1.24,3.1,Mais de1.5,2.84,1.28,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.53,1.3,1.32,1X,12,2X
80,1595155376-62,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Atlanta United
              
                Columbus Crew",https://www.betano.pt/odds/atlanta-united-columbus-crew/5986918/,MLS,"Quarta-feira, 22 Julho 2020 01:00",Atlanta United,Columbus Crew,2.52,3.35,2.6,1.65,1.8,Mais de2.5,1.19,3.15,Mais de1.5,2.6,1.28,Mais de3.5,1.50,2.02,Ambas Equipas Marcam (Sim/Não),1.44,1.23,1.45,1X,12,2X
81,1595155302-50,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Alavés
              
                Barcelona",https://www.betano.pt/odds/alaves-barcelona/5979271/,LaLiga,"Domingo, 19 Julho 2020 16:00",Alavés,Barcelona,6.2,4.2,1.47,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),2.52,1.16,1.08,1X,12,2X
82,1595155334-55,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Vitória Guimarães
              
                Marítimo",https://www.betano.pt/odds/vitoria-guimaraes-maritimo/5968133/,Primeira Liga,"Domingo, 19 Julho 2020 21:15",Vitória Guimarães,Marítimo,1.67,4.0,5.25,1.70,1.91,Mais de2.5,1.2,3.35,Mais de1.5,2.64,1.33,Mais de3.5,1.65,1.9,Ambas Equipas Marcam (Sim/Não),1.14,1.2,2.11,1X,12,2X
83,1595155122-19,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Hibernian FC
              
                Kilmarnock FC",https://www.betano.pt/odds/hibernian-fc-kilmarnock-fc/5906396/,Premiership,"Sábado, 1 Agosto 2020 15:00",Hibernian FC,Kilmarnock FC,2.13,3.25,3.3,1.75,1.72,Mais de2.5,1.23,2.94,Mais de1.5,2.86,1.25,Mais de3.5,1.60,1.9,Ambas Equipas Marcam (Sim/Não),1.28,1.25,1.63,1X,12,2X
84,1595155366-60,https://www.betano.pt/sport/futebol/eua/mls/195161/,"FC Cincinnati
              
                New York Red Bulls",https://www.betano.pt/odds/fc-cincinnati-new-york-red-bulls/5986917/,MLS,"Quinta-feira, 23 Julho 2020 01:00",FC Cincinnati,New York Red Bulls,4.0,3.55,1.83,1.55,1.95,Mais de2.5,1.15,3.45,Mais de1.5,2.33,1.36,Mais de3.5,1.50,2.05,Ambas Equipas Marcam (Sim/Não),1.88,1.21,1.2,1X,12,2X
85,1595155034-3,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"West Brom
              
                Queens Park Rangers",https://www.betano.pt/odds/west-brom-queens-park-rangers/5771403/,Championship,"Quarta-feira, 22 Julho 2020 19:30",West Brom,Queens Park Rangers,1.21,5.8,12.25,1.47,2.15,Mais de2.5,1.12,3.9,Mais de1.5,2.15,1.47,Mais de3.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),1.02,1.1,3.9,1X,12,2X
86,1595155276-45,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Granada CF
              
                Athletic Bilbao",https://www.betano.pt/odds/granada-cf-athletic-bilbao/5979283/,LaLiga,"Domingo, 19 Julho 2020 20:00",Granada CF,Athletic Bilbao,2.05,3.2,3.6,1.91,1.65,Mais de2.5,1.3,2.78,Mais de1.5,3.2,1.22,Mais de3.5,1.72,1.83,Ambas Equipas Marcam (Sim/Não),1.25,1.27,1.67,1X,12,2X
87,1595155433-72,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Sampdoria
              
                Génova",https://www.betano.pt/odds/sampdoria-genova/5976747/,Série A,"Quarta-feira, 22 Julho 2020 20:45",Sampdoria,Génova,2.35,3.3,2.86,1.80,1.75,Mais de2.5,1.26,3.0,Mais de1.5,2.98,1.26,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),1.36,1.26,1.53,1X,12,2X
88,1595155490-83,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Brescia Calcio
              
                Spal",https://www.betano.pt/odds/brescia-calcio-spal/5949620/,Série A,"Domingo, 19 Julho 2020 18:30",Brescia Calcio,Spal,2.3,3.35,2.9,1.61,1.95,Mais de2.5,1.18,3.55,Mais de1.5,2.45,1.38,Mais de3.5,1.47,2.2,Ambas Equipas Marcam (Sim/Não),1.36,1.25,1.55,1X,12,2X
89,1595155137-21,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Ural Sverdlovskaya Oblast
              
                Lokomotiv Moscovo",https://www.betano.pt/odds/ural-sverdlovskaya-oblast-lokomotiv-moscovo/5984760/,Premier Liga,"Quarta-feira, 22 Julho 2020 17:00",Ural Sverdlovskaya Oblast,Lokomotiv Moscovo,5.4,4.0,1.35,1.53,1.9,Mais de2.5,1.13,3.4,Mais de1.5,2.35,1.33,Mais de3.5,1.72,1.67,Ambas Equipas Marcam (Sim/Não),2.66,1.12,1.06,1X,12,2X
90,1595155148-23,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Dinamo Moscovo
              
                FK Gazovik Orenburg",https://www.betano.pt/odds/dinamo-moscovo-fk-gazovik-orenburg/5984758/,Premier Liga,"Quarta-feira, 22 Julho 2020 17:00",Dinamo Moscovo,FK Gazovik Orenburg,1.28,3.8,7.1,1.80,1.6,Mais de2.5,1.24,2.66,Mais de1.5,2.96,1.19,Mais de3.5,2.14,1.4,Ambas Equipas Marcam (Sim/Não),1.03,1.17,2.92,1X,12,2X
91,1595155219-35,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"RB Leipzig
              
                Atlético de Madrid
                        
            Em local neutro",https://www.betano.pt/odds/rb-leipzig-atletico-de-madrid/5924209/,Liga dos Campeões - Jogos,"Quinta-feira, 13 Agosto 2020 20:00",RB Leipzig,Atlético de Madrid,3.3,3.1,2.2,2.11,1.55,RB Leipzig,,,,,,,1.04,5.9,Total de Golos Mais/Menos (alternativas),2.30,1.8,5.9,RB Leipzig,Atlético de Madrid,Sem Golos
92,1595155173-27,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Basileia
              
                Eintracht Frankfurt
                        
            Primeira mão: 3-0",https://www.betano.pt/odds/basileia-eintracht-frankfurt/5916075/,Liga Europa - Jogos,"Quinta-feira, 6 Agosto 2020 20:00",Basileia,Eintracht Frankfurt,2.58,3.35,2.54,-,10.0,Basileia,,,,,,,1.02,6.6,Total de Golos Mais/Menos (alternativas),1.95,1.95,6.6,Basileia,Eintracht Frankfurt,Sem Golos
